Date,Type1,Type2,Analyzer1,Analyzer2,Flow,Stage2_3,Stage3_1,Stage3_2,Stage3_3,Stage4_1,Stage4_2,Stage4_3,Stage4_4,Stage4_5,Stage3_4,Stage4_6,Stage1_1,Stage2_1,Stage3_5,Stage3_6,Stage4_7,Stage4_8,Stage2_2,Stage1_2,Stage3_9,Stage3_7,Stage3_8,Stage4_9
2000.3.26 0:50,,1,6.384935078,-17.59728333,126.1395,99.00643333,2100.256667,1.825485,3.585908333,75.11278333,58.01143333,1900.391667,112.6911667,3.779405,5.499856667,56.77118333,329.2253333,224.0415,229.345,244.8631667,155.4683333,265.675,218.7035,319.5916667,230.9918333,159.9398333,289.9688333,66.38171667
2000.3.26 1:00,,1,6.38888848,-17.5469,125.8108333,99.02233333,2099.316667,1.85685,3.623526667,75.01405,57.97421667,1901.008333,115.0808333,4.003845,5.499816667,56.94351667,329.3526667,224.0416667,229.3531667,244.9533333,155.618,265.6748333,218.7123333,319.862,231.2413333,160.1005,290.134,65.92366667
2000.3.26 1:10,,1,6.395512217,-17.54765,126.2158333,99.00398333,2098.791667,1.86286,3.660751667,74.98408333,57.9702,1900.398333,113.8795,4.133448333,5.499186667,56.87736667,329.3025,224.0293333,229.5016667,244.8958333,155.6096667,265.6833333,218.6926667,319.8838333,231.166,159.9401667,290.1655,65.79963333
2000.3.26 1:20,,1,6.392380358,-17.82581667,126.073,99.03381667,2096.446667,1.849308333,3.637461667,74.6808,57.9864,1901.633333,112.6148333,4.169766667,5.49941,56.94375,329.3485,224.0125,229.51,244.7645,155.6178333,265.6018333,218.6898333,319.7716667,231.098,159.9216667,290.0671667,65.55918333
2000.3.26 1:30,,1,6.395647599,-17.91811667,125.8933333,99.02298333,2100.86,1.852445,3.659075,74.63973333,58.00115,1900.806667,113.773,4.13144,5.500446667,57.01391667,329.3413333,224.0323333,229.477,244.7646667,155.6513333,265.5691667,218.6825,319.8651667,231.0988333,160.2455,290.0666667,65.1366
2000.3.26 1:40,,1,6.395614224,-18.10175,126.1088333,99.01205,2101.16,1.849206667,3.669491667,74.47905,57.9921,1900.168333,112.8435,3.946028333,5.500485,57.15203333,329.2886667,224.0508333,229.444,244.7318333,155.6426667,265.7241667,218.7185,319.8018333,231.0496667,159.838,290.2233333,64.5284
2000.3.26 1:50,,1,6.390048664,-17.99538333,126.374,99.0159,2100.103333,1.864771667,3.689503333,73.934,57.99961667,1900.065,110.4566667,3.815268333,5.500375,57.5003,329.298,224.065,229.4191667,244.658,155.6428333,265.4308333,218.7278333,319.8368333,230.863,160.0215,289.8753333,64.57731667
2000.3.26 2:00,,1,6.392966203,-17.99815,125.9998333,99.04701667,2099.85,1.85,3.723941667,74.56415,58.00618333,1901.09,115.6213333,3.790153333,5.499856667,57.57586667,329.2801667,224.0661667,229.2543333,244.5676667,155.7093333,265.6831667,218.7096667,319.7266667,231.0668333,159.8246667,290.11,64.50238333
2000.3.26 2:10,,1,6.383118728,-17.72036667,125.9451667,99.03588333,2099.756667,1.862985,3.714205,74.10636667,58.01591667,1899.348333,114.2753333,3.857098333,5.500708333,57.60756667,329.2763333,224.0815,229.2213333,244.4693333,155.8003333,265.6016667,218.7058333,319.7933333,230.9596667,160.2521667,290.0763333,64.72121667
2000.3.26 2:20,,1,6.388726753,-17.68883333,126.1268333,98.99298333,2099.758333,1.871716667,3.734405,74.62398333,58.01503333,1899.641667,114.0655,3.969128333,5.499928333,57.62175,329.2655,224.0738333,229.3286667,244.4776667,155.8753333,265.6586667,218.7418333,319.7901667,230.9331667,159.9108333,289.904,64.89298333
2000.3.26 2:30,,1,6.381202786,-17.6692,125.8361667,99.02291667,2099.811667,1.841046667,3.698106667,74.30001667,57.98503333,1898.808333,113.3246667,4.078585,5.500781667,57.73798333,329.2576667,224.0696667,229.3121667,244.5596667,156.0243333,265.6995,218.7531667,319.8336667,231.0243333,159.6663333,290.1713333,65.06125
2000.3.26 2:40,,1,6.379815672,-18.21591667,126.0583333,99.01326667,2099.463333,1.860676667,3.647396667,73.89271667,58.01998333,1901.221667,112.673,4.149035,5.50108,57.70733333,329.2501667,224.0711667,229.2873333,244.5513333,156.0243333,265.7646667,218.7493333,319.8266667,230.8885,160.2931667,290.1471667,64.86753333
2000.3.26 2:50,,1,6.380940845,-18.22055,125.7175,99.02865,2100.795,1.895476667,3.716761667,70.77773333,57.98163333,1900.01,113.9246667,3.816656667,5.500298333,64.09338333,329.2578333,224.0836667,229.2791667,244.2641667,157.3273333,264.8121667,218.758,319.8636667,230.8118333,160.1765,289.7431667,60.52938333
2000.3.26 3:00,,1,6.372274709,-18.32711667,125.8748333,99.00903333,2099.628333,1.84698,3.751121667,72.27073333,58.0354,1899.621667,115.8228333,3.597245,5.498928333,63.41711667,329.256,224.0635,229.2543333,244.0508333,157.9498333,265.276,218.7516667,319.7,230.9453333,159.6031667,290.0086667,63.04556667
2000.3.26 3:10,,1,6.381038044,-18.02446667,126.0011667,99.04088333,2101.22,1.84589,3.624923333,71.94645,58.04256667,1900.41,114.03,3.728766667,5.500523333,63.05106667,329.2805,224.0835,229.2213333,244.248,157.6841667,265.5855,218.7546667,319.8185,230.794,160.1873333,290.2838333,62.93813333
2000.3.26 3:20,,1,6.348119822,-17.88548333,125.9693333,99.04231667,2098.821667,1.862276667,3.68514,72.15021667,57.99876667,1900.171667,112.7776667,3.722228333,5.499151667,62.61455,329.2773333,224.089,229.1056667,244.4285,157.543,265.382,218.781,319.8455,230.6615,160.0668333,290.0091667,63.65956667
2000.3.26 3:30,,1,6.353426127,-17.93773333,125.9811667,99.0497,2100.618333,1.84477,3.775315,72.74686667,58.01111667,1900.406667,111.7443333,3.693196667,5.499523333,61.90363333,329.2833333,224.0918333,228.9901667,244.5513333,157.3768333,265.5041667,218.779,319.7816667,230.8785,159.5243333,289.9733333,64.12843333
2000.3.26 3:40,,1,6.35870859,-18.00038333,126.0405,99.04181667,2100.161667,1.811321667,3.646818333,72.82953333,57.98846667,1901.128333,113.9226667,3.715456667,5.501783333,61.453,329.2446667,224.0833333,229.114,244.576,157.3601667,265.5285,218.7538333,319.4263333,231.0755,160.1798333,289.9935,64.58315
2000.3.26 3:50,,1,6.360271316,-18.27631667,126.1385,99.02773333,2102.131667,1.87172,3.665023333,73.19263333,58.00281667,1901.046667,113.57,3.721251667,5.499445,61.42678333,329.1926667,224.1168333,229.2873333,244.543,157.3603333,265.6588333,218.7528333,319.1908333,230.7875,160.4083333,289.7125,64.92353333
2000.3.26 4:00,,1,6.357724533,-18.41456667,125.8925,99.01711667,2098.826667,1.859645,3.729686667,72.99596667,57.99591667,1899.955,113.4846667,3.771596667,5.499408333,61.12286667,329.0656667,224.1161667,229.1635,244.584,157.294,265.5041667,218.7621667,319.1708333,230.9385,159.9391667,290.016,65.00871667
2000.3.26 4:10,,1,6.363472353,-18.49781667,126.0275,99.03805,2098.766667,1.847341667,3.724453333,73.01351667,57.93953333,1899.96,113.5015,3.790565,5.500598333,60.61956667,328.9861667,224.1106667,229.2376667,244.65,157.2193333,265.6915,218.7506667,319.1623333,230.9398333,159.9678333,290.269,64.86435
2000.3.26 4:20,,1,6.363430861,-18.1655,126.0066667,99.04091667,2099.895,1.825886667,3.67614,73.28858333,57.96451667,1900.466667,112.2253333,3.69725,5.500633333,60.54055,328.821,224.1198333,229.2626667,244.5103333,157.078,265.4061667,218.7626667,319.0473333,230.8296667,159.8136667,289.9056667,64.93273333
2000.3.26 4:30,,1,6.364894158,-18.14161667,125.7975,99.05165,2097.598333,1.869308333,3.721745,73.0208,57.98345,1900.11,114.4988333,3.687635,5.500003333,60.4136,328.684,224.123,229.2128333,244.5266667,157.0531667,265.4881667,218.7515,319.134,230.7916667,160.3705,289.8381667,64.84223333
2000.3.26 4:40,,1,6.364257998,-18.05338333,125.9826667,98.98565,2099.446667,1.836675,3.772918333,72.91273333,57.99208333,1899.731667,115.2136667,3.701936667,5.497333333,60.37701667,328.6003333,224.124,229.1965,244.5348333,156.9203333,265.5936667,218.721,318.954,231.01,159.5896667,289.9655,64.89896667
2000.3.26 4:50,,1,6.367769856,-18.18478333,125.9658333,99.00315,2098.165,1.801173333,3.655496667,73.07758333,57.99395,1900.198333,112.9806667,3.715186667,5.501673333,60.13178333,328.5508333,224.0985,229.2458333,244.494,156.8788333,265.5285,218.7163333,319.014,230.9941667,159.9033333,290.441,64.77736667
2000.3.26 5:00,,1,6.370483251,-18.2172,126.0493333,99.01525,2102.108333,1.821595,3.624658333,73.26743333,58.04068333,1900.506667,112.2305,3.748138333,5.499111667,59.89843333,328.4953333,224.1351667,229.3285,244.4445,156.8788333,265.618,218.7111667,319.0956667,230.6926667,160.118,289.9261667,65.4197
2000.3.26 5:10,,1,6.361914724,-18.38121667,126.0638333,99.01785,2102.656667,1.807455,3.602646667,73.88535,57.97446667,1900.02,113.7236667,3.852751667,5.499298333,59.58705,328.5045,224.1358333,229.246,244.5676667,156.8706667,265.5691667,218.7466667,319.084,230.9153333,159.9463333,289.72,65.59708333
2000.3.26 5:20,,1,6.363851055,-18.40066667,126.1881667,99.03625,2098.311667,1.76468,3.52669,73.4392,57.9174,1900.751667,114.894,3.942898333,5.501375,59.93853333,328.475,224.1065,229.279,244.6171667,156.9038333,265.6016667,218.7118333,318.9473333,231.157,159.8878333,290.4053333,65.11013333
2000.3.26 5:30,,1,6.368748015,-18.4472,126.1646667,99.02393333,2099.583333,1.786698333,3.477336667,73.48501667,57.97391667,1899.841667,112.4726667,3.896433333,5.497036667,59.75156667,328.4851667,224.1276667,229.4026667,244.5758333,156.9038333,265.6426667,218.7065,319.1123333,231.1323333,159.8406667,289.8615,65.13313333
2000.3.26 5:40,,1,6.37004061,-18.15011667,126.1888333,99.0347,2101.733333,1.771971667,3.480798333,73.40453333,58.00026667,1900.435,114.0923333,3.727726667,5.49967,59.61286667,328.4886667,224.1281667,229.3861667,244.5511667,156.8623333,265.4553333,218.7365,319.0473333,230.9386667,159.9178333,289.9235,65.1818
2000.3.26 5:50,,1,6.370882251,-17.99353333,126.0615,99.02028333,2098.096667,1.77049,3.510423333,73.21758333,57.97173333,1899.735,116.3995,3.551738333,5.499706667,59.77998333,328.5048333,224.1503333,229.4275,244.5185,156.962,265.4716667,218.744,319.1556667,231.1201667,160.3901667,290.0531667,65.46358333
2000.3.26 6:00,,1,6.370177775,-17.99185,126.1595,99.01538333,2098.343333,1.793628333,3.514716667,73.0595,58.00733333,1900.426667,113.6871667,3.591161667,5.50041,59.54521667,328.528,224.137,229.5015,244.6498333,157.0283333,265.504,218.7388333,319.0906667,230.9831667,160.1805,289.8435,65.06011667
2000.3.26 6:10,,1,6.373857671,-18.10083333,125.7623333,99.01345,2099.316667,1.774865,3.496183333,73.28213333,58.00235,1899.295,113.8855,3.75277,5.498555,59.49158333,328.5375,224.1741667,229.51,244.691,157.053,265.6016667,218.6731667,319.1056667,231.2613333,159.6383333,290.1421667,65.22945
2000.3.26 6:20,,1,6.374088997,-18.32283333,125.9165,99.01773333,2099.808333,1.776333333,3.414433333,73.03933333,57.9438,1901.015,114.0528333,3.824913333,5.500375,59.28623333,328.5603333,224.1748333,229.5925,244.7155,157.0945,265.488,218.6853333,319.1325,231.2201667,160.247,290.0598333,65.37125
2000.3.26 6:30,,1,6.38253951,-18.22963333,125.8471667,99.03506667,2098.23,1.796196667,3.438703333,73.20371667,58.01651667,1900.466667,115.33,3.856453333,5.49852,58.9582,328.5758333,224.179,229.6173333,244.8053333,156.9868333,265.4878333,218.6608333,319.109,231.364,159.9315,290.0181667,65.08725
2000.3.26 6:40,,1,6.377410302,-18.21998333,126.3733333,99.04888333,2100.446667,1.835633333,3.47767,72.6115,57.96993333,1899.918333,115.6871667,3.753275,5.497965,58.96066667,328.5558333,224.1778333,229.7903333,245.0025,156.9866667,265.4635,218.553,319.0823333,231.3338333,160.3698333,289.9278333,64.68405
2000.3.26 6:50,,1,6.382432029,-17.4281,126.3743333,99.02288333,2100.035,1.825051667,3.507568333,72.94848333,58.02116667,1899.703333,109.4625,3.644645,5.500668333,58.785,328.5443333,224.1825,229.7986667,244.9941667,157.0778333,265.7566667,218.5215,319.0723333,231.1901667,160.0331667,290.0286667,65.28761667
