date,고철/철강,모래/시멘트,광물성연료,비료,양곡/곡류,광석
2007-01-01,112553.22000000004,98104.386,127427.76,84752.49800000004,14392.54,23348.068000000007
2007-02-01,137322.43900000013,34945.768,149315.46000000002,89502.04200000002,60342.946,3600.0
2007-03-01,140753.86200000005,63157.2,107161.28,101188.81699999998,4581.0,12193.878
2007-04-01,132889.50600000008,72735.933,111780.14,147447.591,17143.61,12809.927
2007-05-01,157873.76599999995,50844.7,139445.1,89217.35200000001,0.0,18312.942
2007-06-01,132387.53000000006,122943.484,141141.0,98338.296,58137.75200000001,42083.09
2007-07-01,140296.72800000006,71921.506,139909.66,73195.01900000001,7500.0,8280.569
2007-08-01,122868.3369999999,61643.185,122773.4,96508.79899999998,14392.238,15312.125000000002
2007-09-01,157479.1429999996,83617.25200000001,129296.88,39402.608,0.0,33239.521
2007-10-01,215355.72500000003,33308.376000000004,92779.26,141582.91199999998,38040.725,10506.344
2007-11-01,348918.8509999996,143733.06900000002,94916.52,139766.85000000006,70325.69,7100.0
2007-12-01,264290.1400000003,91588.28,170263.36000000002,61293.324,21032.877,31783.343999999997
2008-01-01,315246.8010000002,62094.662,145061.99999999994,154937.503,44335.316000000006,311343.32399999996
2008-02-01,220078.8100000001,90679.24,123543.0,174118.264,35225.02,136380.24
2008-03-01,236583.91099999964,102724.103,139478.0,74767.284,37571.373999999996,258232.65300000002
2008-04-01,212069.41199999992,168210.23,170203.363,116640.588,63692.474,184735.45
2008-05-01,203280.2650000003,59074.12,131265.71999999994,108537.109,75948.26,246718.86
2008-06-01,256972.63000000032,129204.98,110483.34,72158.765,96995.92,215660.19
2008-07-01,239043.72099999996,97811.651,161024.0,134557.15099999995,46494.85,227899.28
2008-08-01,275188.13399999967,175339.06600000002,80589.0,106290.85099999997,2058.16,205985.53300000002
2008-09-01,226255.39099999986,21999.8,163219.0,117510.835,1999.76,212993.3
2008-10-01,164994.46599999984,144435.65000000002,58046.0,59692.12699999999,80463.72099999999,204490.02600000004
2008-11-01,123690.35200000007,46137.47,110749.0,73374.58699999997,0.0,227388.009
2008-12-01,183251.8500000002,145571.62800000006,171753.98,53618.950999999994,100715.45,221414.258
2009-01-01,172219.93399999983,139381.259,26001.0,78467.36200000001,26126.252,202343.19
2009-02-01,254534.84899999996,143940.258,84256.09,85803.03599999996,0.0,163885.87099999998
2009-03-01,229227.1839999997,219910.232,111887.7,75628.008,109037.01699999999,152443.92000000007
2009-04-01,189530.94300000012,83131.531,67090.0,96466.902,72206.79200000003,251638.516
2009-05-01,187689.86300000004,63233.10399999999,137877.14,63062.509000000005,66350.0,255856.483
2009-06-01,314500.31500000024,90048.099,119941.88,38406.898,51026.5,265344.497
2009-07-01,215172.123,44762.356,144007.2,88990.16799999998,111979.71700000002,283040.896
2009-08-01,131123.12399999995,94974.79,101470.78,84142.21699999999,11599.0,208590.14899999998
2009-09-01,241753.92800000013,144525.116,135577.263,63529.40599999999,43979.999,205396.01
2009-10-01,94555.93600000005,48273.63,100651.88,114135.215,113412.086,261960.193
2009-11-01,169557.87699999992,183093.17899999997,50717.74,101198.998,85933.35200000001,222037.063
2009-12-01,186011.79499999995,122463.67,70975.77799999999,120955.395,105202.522,310214.683
2010-01-01,175380.78399999987,72508.55099999999,121281.344,74856.57999999999,50505.26700000001,262655.94100000005
2010-02-01,142107.22299999988,144184.147,26230.963,95512.525,103778.01199999996,205604.064
2010-03-01,181209.70400000009,159706.245,169566.44400000002,28737.442000000006,133173.956,355942.648
2010-04-01,171252.78499999995,88047.55,195093.241,78275.56,77245.39600000001,241333.19
2010-05-01,200976.48800000004,126828.75900000002,127447.702,87058.024,142147.734,190841.642
2010-06-01,168628.83300000013,172381.84300000002,47549.0,62421.71100000001,95047.837,169891.716
2010-07-01,164278.218,83949.552,145002.0,74110.80900000001,126360.18,223188.707
2010-08-01,174111.9909999999,154331.87800000006,170824.35,82870.26599999999,113946.084,268973.875
2010-09-01,124894.7920000001,116874.151,77356.788,95471.47,144364.09900000002,207849.53500000003
2010-10-01,151925.74599999993,83961.15199999999,126555.728,81784.0,90824.995,186206.006
2010-11-01,156940.62300000008,193057.246,161771.4,98871.4,98429.523,127425.479
2010-12-01,210306.54999999984,127775.711,105867.839,66408.06599999999,103461.68699999999,214322.747
2011-01-01,187456.9440000004,91111.34800000001,140162.50999999998,107597.85,126073.07799999994,162107.83000000002
2011-02-01,115648.27300000012,152676.675,156557.426,81732.05,75765.89600000001,136347.63
2011-03-01,97530.75400000004,136131.479,163032.835,148525.691,43855.559,197620.623
2011-04-01,118758.54100000011,180003.479,68838.9,102272.11,79723.234,232851.54100000003
2011-05-01,170877.4710000001,60332.21,160625.164,139588.481,99396.75799999996,205241.159
2011-06-01,193431.613,171331.974,139458.096,122060.4,198218.31600000005,175772.021
2011-07-01,209263.461,163808.98,140682.0,65654.51299999999,3680.23,236328.062
2011-08-01,179309.51599999992,97219.258,65673.93,152250.375,105946.20199999999,276586.578
2011-09-01,188359.462,130539.551,163426.663,112591.59199999999,81448.47099999999,225206.485
2011-10-01,215559.51599999997,159489.81300000002,85700.95999999999,107350.726,111647.771,219513.74399999998
2011-11-01,128995.34199999995,145050.59499999994,184398.73,130684.383,106436.247,218869.70400000009
2011-12-01,134606.768,126801.537,111580.0,72155.79,31020.416,233085.467
2012-01-01,211713.01800000004,94677.898,130804.1,123909.21,152650.18300000002,236302.631
2012-02-01,159097.86500000005,94901.984,100319.72,182549.482,58188.736,247060.89
2012-03-01,165059.674,128579.898,134331.676,117075.405,36222.25,230780.12699999998
2012-04-01,160007.2990000001,118601.0,150744.374,94384.136,101678.47300000001,227149.51
2012-05-01,147985.79200000002,99841.6,158156.0,174319.99800000002,44846.5,228362.82000000004
2012-06-01,119751.02100000002,116790.885,153204.5,80461.616,21721.0,212392.065
2012-07-01,169822.53699999998,173563.21099999998,111078.8,157223.622,65069.262,306837.57
2012-08-01,101488.05900000004,67509.12,129515.88,124906.045,109464.767,292689.12699999986
2012-09-01,163392.17100000032,159705.131,136591.0,104638.403,72.0,233065.20300000004
2012-10-01,177960.49600000004,167031.889,139563.0,96976.05900000001,101203.61,310088.819
2012-11-01,131977.33900000007,66976.193,136024.3,115705.448,115020.911,229114.25
2012-12-01,98766.39299999998,178804.25699999995,127001.16,49996.61,35000.0,148952.794
2013-01-01,80000.94599999997,127754.946,146913.0,138104.012,86591.024,356735.364
2013-02-01,84093.28300000002,83120.11099999999,136549.174,127575.11500000006,85286.835,195320.572
2013-03-01,74974.32599999999,174596.938,122866.6,113438.92800000001,120899.84199999999,184864.49
2013-04-01,143361.27399999992,122145.728,128978.007,74753.148,36.432,251038.065
2013-05-01,102718.60800000008,114757.54,153927.63,78448.0,37458.0,300238.878
2013-06-01,118776.18499999998,98237.9,118482.0,126330.0,110683.8,277212.7220000001
2013-07-01,96650.32899999995,34937.5,86507.33300000001,76636.851,68408.5,390838.368
2013-08-01,108480.97700000004,156633.76,137720.0,82807.42,65367.0,311497.32899999997
2013-09-01,102575.87999999998,108020.07,68802.41699999999,95094.28199999999,69081.645,399787.685
2013-10-01,102261.58799999996,64700.7,204964.25,112104.252,0.0,277468.78199999995
2013-11-01,481318.69700000004,140042.4,206544.44,72118.58,58566.5,268888.471
2013-12-01,116270.74599999994,93338.13,87977.0,78994.031,69028.5,267055.41
2014-01-01,121021.53199999992,157516.33,211577.81,70655.646,28586.0,269139.09400000004
2014-02-01,108128.021,64266.85000000001,136550.25,85357.515,6850.962000000001,275593.13300000003
2014-03-01,86497.41900000002,102877.6,192411.00600000002,98768.603,0.0,270000.515
2014-04-01,79955.61099999999,143796.84,139244.26,105302.765,0.0,387375.665
2014-05-01,212166.5680000001,26158.4,206012.17,93802.62,54.648,266572.51
2014-06-01,249942.90500000012,52536.26,228115.62,49259.15,1004.4,179129.87600000005
2014-07-01,252285.02199999988,147056.16,80026.62,62215.45,7687.33,283742.522
2014-08-01,125472.07100000005,105619.12,76663.28,51263.553,0.0,258182.75100000002
2014-09-01,196255.81500000024,81241.31,177717.84000000003,45117.4,18.216,328195.60200000013
2014-10-01,108902.265,122310.39999999998,184679.56399999998,48351.72,0.0,299020.22899999993
2014-11-01,86335.88099999996,45272.44,113067.46,58163.405,26857.926,272809.627
2014-12-01,111014.64299999994,189885.05,121669.88,75140.1,116594.173,289698.272
2015-01-01,77882.70399999997,51927.238,256021.66000000003,61792.84,71436.20800000001,335019.162
2015-02-01,96333.71599999993,97101.47999999998,200463.64,42985.43,59070.475,220433.60200000004
2015-03-01,110639.02799999996,117427.192,164259.31,74527.44,21893.662,263114.744
2015-04-01,87768.86899999999,117480.47999999998,158988.5,43244.24000000001,97332.41700000002,251923.56399999998
2015-05-01,47571.17000000001,169395.94499999995,188059.64,45654.04,28770.96000000001,380496.504
